Account,Token Account,Quantity,Percentage
DXM1SKEbtDVFJcqLDJvSBSh83CeHkYv4qM88JG9BwJ5t,857soYnFmYzTU9gAuYZATCe1fwozRBVGidzV5vf3X9m3,4136196.00,41.87
BX1PEe4FJiWuHjFnYuYFB8edZsFg39BWggi65yTH52or,9PhXMK9MUrx3XHdwnUd8SWCXJMN4dn1t6VphM4ag9S9t,1000300.00,10.13
FAEjAsCtpoapdsCF1DDhj71vdjQjSeAJt8gt9uYxL7gz,HyBS72PmHuhwX7Z6qLM9HaLsboKHZy4se27sDMkqEgqd,493253.00,4.99
95vRUfprVqvURhPryNdEsaBrSNmbE1uuufYZkyrxyjir,5B6wB3PpxVttsUi4511xYRy6giGdHCeGwSLJRY9V1px4,484898.00,4.91
He7HLAH2v8pnVafzxmfkqZUVefy4DUGiHmpetQFZNjrg,Jh4BVgcD9Pp3TFJzxxVDeyp1TPUioY3k4cwj7GjaLsJ,457592.00,4.63
FYfLzXckAf2JZoMYBz2W4fpF9vejqpA6UFV17d1A7C75,2ViuF6cWJ5PH9sXwC8RFK8azwdNEQM4aKnfhF6qUSjNH,452008.84,4.58
9pRsKWUw2nQBfdVhfknyWQ4KEiDiYvahRXCf9an4kpW4,CFJdc43HP5q9N9KMkhy9oaoRZKYiAXnEcVmpdYaD1tci,409616.00,4.15
FFfTserUJGZEFLKB7ffqxaXvoHfdRJDtNYgXu7NEn8an,4aCuUNM8fmZ4EJgMSuqAXyB7Nh5oQVeejN2gEdhfmjyB,404664.00,4.10
EhCeavQuvQRf2uSNPW1dJb8hHqa511TyzDXyjM2BTr4x,Ah1shzAVmzveXiJNjqQXYKLgtziikcexmrKW44dvsZdN,306293.27,3.10
H4RPEi5Sfpapy1B233b4DUhh6hsmFTTKx4pXqWnpW637,32B5gWmvmTgASxqdxDhgweo2CdcxVtCkx4t4Y2DTdu1C,199100.00,2.02
GBowhf35uo25ThZRByBxJj1wpCYPZrLvXNMmzz4H2YZA,Aao3W2uYHYmJGqcsVwPsQioyMXuS2U4o2hQKfPT7xR9A,120352.45,1.22
2WYixkyapdnXPv5g3W9ZqWXC9KM4a9xAGrikbeVQn73y,5es92WeUZFnCPfSr631HVUJQCZNQ93uARLZSevg8ZYdi,110850.00,1.12
AcWwsEwgcEHz6rzUTXcnSksFZbETtc2JhA4jF7PKjp9T,Gvh95fVGhgRQEZ5SxpTsC1DEAricWqJkYqaV44svaeH,101026.16,1.02
HFvyKsf4BRo1yWHb4ATjcX3pELqapu8YErbhdAC4bW1v,FktfpEUkNLmBqxgET22hzrB2gjSGNHYGy8kRHh6on9Na,94784.17,0.96
47KciSwxSwfyczXmPhDsZRpBTfLoNY1FXkiZb4ay4JUa,7L66SJcQyWfAhbmM7GK8d7shta2EpFYLELWERQ4P8eop,85312.99,0.86
9FdEErSA8N9kkyukLHLsKTyyu6vN3iNq4vpQLN1rdWpc,4TFfibEgRwVAtMeDQ8gJgpN8edtysmdzwM7QMRgwd7eN,73907.00,0.75
AfVXtsmsbmeVDuYSTdEQdiJsYKsi8EKZEdzoTmRb8mQ,GirsJCuuZAguFaWXQMr59xnJKzTdYxrZ76e3vDa9Qbir,59871.25,0.61
6ngUm36nabsREufTBRNGuif5pyEffaZqj2ik7NqEJfL5,8aoU4zo3vZ6XcRDjRHT7v4PnrSsFSUdGrFumHUaoYLTz,55319.49,0.56
7azqm8HWqiqZPrcgWoBbtNc9HykxpzK5zGTuiJXkpzNZ,DWfHzUDbucdE8iu8qfjQiH16kLybs9zqTvUAzd86aexC,44699.11,0.45
63T32BUbMNTSeemfGKAuL4NB5xfjSeUHRUkHqn92Sjuj,G6F9kPe1YQKkX7Nhjuv6xscbk4UUjgCSg8SPy8c77cyg,38906.26,0.39
7EoZQLvw7F8f4xwWnHPFM6PttwyAT9uWFPVUuJEFDNxh,asTbUeusvSS3r8Vm635avUmkBHTW1QLCcR3wkUMMAA3,37632.37,0.38
CxKWhsTKhyAWYdttDrxBEQLsvq5FYtbMZDmGb2EkSTkn,CbTG8AAv8prwpgF8Gv4sLq3d3ZiPQuP5jaqsNUPhKHPF,36402.61,0.37
HWh5GrTXfCtrLd49i5URWv2QKHMxEKsxEHoNR6EuksWC,CSPFxr5CEPjCL4jUKXxBZ5Mu7pTETbAMjaSzTpLkuNA6,34543.99,0.35
EFwA7nqU4XYi44mspmWacTV5C4ivjnm2Mgd9ExN5hpFM,9kGsoZxcwn1x4EsiVBvHvCrpVc74xAAnhLR5ipvV12Bc,33193.10,0.34
G5tJEepNbxF3NXEgYhXAGSeBcvaLQhm4JxaG26dZHkag,VEzBw8CJ9g95eevogygc3ob2mjEqcL3RFJDiLUL1Liy,29443.44,0.30
MZgHwrpoLepv6yuzM7fdAKd5WXkUi5wGNq4CAkTYrXQ,4nUcgdA4qaxGv4dBowk49auRWpcGva9Y9yi3pi6bJjtp,24908.79,0.25
5UcXwhJ4N2oNcinLZpFf2tLLh8hbf7W5FHtpiokX5SnW,Bbf1keKzjSTu4NP9zato1zrVZ5x6ekNdBAK6NeZp5L4u,22568.81,0.23
94Q2QhtrLUxL1txrgSJeXMi8jdkVTQK4EZphfT9LYsmE,FmKVwtsiNybBLJBeKim3eSgFXUWCuUm1FzPf2d4BVzY8,21271.67,0.22
21vft9FD6um3k7UU9xbPUTcigyFtB5eAd6qUKgQmmZAV,9XcNvnvcnwRJ2XtUGPhdYnwxFmBm3chS6Ce1T1o7EubE,20561.35,0.21
Cdub9EQej4U9nYrZkpk3nQ7Luq7paw4YzBhHGfscxsGy,6HFnLY1wbcKWSYYBUvBuNe6vC5ZbyBZFCECptABqpbQP,17347.68,0.18
BHCYL69P56TzBBy1r4CxmHs6Sz9Caebgb14oTyQQkRS1,2FhMH7BNq3qxzx88LFWtVF33w3U8cdSEejj9sUL1Rrgg,17086.30,0.17
CpGvNQ49c6UXY7yzPAyMpwxDNQxWtDWptLViGs6CijRV,N3snJCmW2raG3ksSNonA4TzV1wzoHk5UrpXn5dYkT25,16789.06,0.17
9ms5WgDa2e8z7HE7PD2ci3a2WnhQEZtP4dBJePhhdhXq,2PHcPeETTQ2enUFgTyKQ6nXSjNRSmfUpi9cpZR3mCNpN,16577.00,0.17
HzrwHaJ8AVKwXg5fGqQQPyngk73QVjm4wJsm5hWmH9qu,3gcxVRpetks9J8DifyT1ZwnusUXdb9jXpnVMQ9BKZG4n,15794.47,0.16
6tt2ZKZPByrzRuevsMYgEEpy1pRUWMGtPxRh16CSxpwu,BskPJwD3YpvNvHdPjM3FPqCeAChvv51qhB1Y3UUwXJXa,15686.95,0.16
HKN4zACpPLhE6CBQtarSfk2Dn45NVVWTKU2RLrtCLdwA,5hmcaqvsy3PMWSC3HjjLr3RZQCeBDncrdvRHDZXd6R1r,15404.70,0.16
DenXVLRxRR3yrXFzwMEpnuizCcP6YMpaN9jUdZy2N8hB,7KuPVuskjozU8qv7kBRmXdY6U6ErjcpNxmxAmBoShwUF,15319.00,0.16
HCjdt7LNHcqByEtUFpjMoGBkcgb3iGb5mhSJaCooNfnH,HYxqyHCMbbcxXpqZLQUNPrbxGAFByaKwwm2tGJohLhCR,14478.08,0.15
7SzEGFW6bX2f1ULAJrHqvPipUAG4kc7N3Qt7iEnVKiqr,ANGYDatdfDECnoCz589WEDeV3aJCqo4hfPydHwLiYUPm,13648.43,0.14
342tqFCDTtDJXnrTd72H6TMwJGvsr4PveZLpmqxEJb24,2y92ohpnZvaxByWJdg33a394KcQMm4jc9fr74EBFCMoa,11310.00,0.11
Fzkih4zSTEK1qrVSZ7oiveyw35pSbb83sof1KEA7gtoy,B1zBzKA5mzApWrq15eogh6LfhFWPPQjif1hfepT6R7kX,10574.05,0.11
J34vpqJdUCTBj9YcvRUq6MkwRbXWWFfSiHbfQ6LKvsiE,5BVbhY8M9M6Du7HpK9CnjekFPaeRrAKUfyLV4MdJxfam,10480.86,0.11
7d4BfDFor6Ddyfjd5bKL4irsoez9KbdL3gcbaYLcMHYw,BwE6aEutdU1o3XC3PNpd7p5byJ161JmQ5MiayBZMnNxQ,9822.65,0.10
DJi5TeBtVjFhHw4Z97t3NZxNWrFRzbuEKCWZWAcnuACA,AuG4NTmdmi9ecekTUYMbnSMKJMqbTYLciGeEUUaMzSnG,8721.42,0.09
8jUhXV2ZNbsjAJNQH22JhZMR1dBMYUtoHW4ASroUiXaz,Hf3VfBbo3jxohBZrTTsVsy8EghfWUDF9LnggkELgC2om,8062.00,0.08
6j9H3CKUUGMCrbbdATG49QW6KUXCUvrF7HhBvAVGWb25,6EyipgHFsBkCHYLdDD3AmCZmwaWQJLJxu1rStRkrBLmc,7879.00,0.08
Cbo7JZEmVEbkcNzfoE7V3489MKwTehZ37KYJ4Me2cEDv,GcnSi44N5Ky4mWfrUSpMgbrxaK2dXVBWvAPgEyMrKg3F,7343.28,0.07
Aa5xb9Ri7UwmYLvtRsqbVTSiwVvj5AoyQ4Ru31wGPLFW,9Cm6WgB8iNX9Ma2BbPtH2fzHiRoH9khE1thX6f9zv2Qb,7320.00,0.07
7CLRkmmn2KE87bF3ce4P67SVhj1VeXs4GjtpbTgt2ric,HKfEjc6rDaCnc59gn6mKzrrY8NkHy72CNF4geMks7gWo,7229.15,0.07
AbwCmXYNyrpnApiRWzn9MmVEwGYq3FBvF1FTgoQLEVT,EAsHYBqsctFXT6xQ7aZ1ksP3GLjFSAaFcSXm589eZjVd,7134.96,0.07
CaSLotZPGsxftpwnjx7jNg3ii5SoYZHN43e5EZZ9NSph,GNxKVAYmhpE1KCLZdWycPi31q7xDLcTVGdFnvJeYZW72,6509.75,0.07
Bsusydb9R3bs6FViWvWW8qGgedoXfe4PU8zduYGFQSsT,64g1oucSkRo8P8amPMy5mtKpJLRfjdVUturswor7SqG8,6454.00,0.07
2xJSWP8NCfEroUaDMSF6ucPG8Nr52nvS5d8EP16XPZ7r,GnJnPhueuSCqV2reajdT6YyxGWk9actuQ1ThsSKUzyRg,6384.90,0.06
GEvA9MYEZQB52djXKCx47QXZyfeTG3iZg4KWoy9WZrjP,CP13D2VS32nub9ot7mJHM5YfbunNSD3XFM4sXic6b11H,6344.39,0.06
ncgaRYS2kaDE85S94oAR5B3ALXA6425jXeCQGSSsrMu,5So9BxNW275TVyT7AVgaUHaWp3vFozLEjTspcS3HCKHP,6319.41,0.06
8qtvK52obif54UZRWCd8ZaNERzRMPo5Va6ZtnXFx23Ea,9SpRJdZDsPcJqLRrZfmnjzp7WTn67vLqW5pb56fbR6HM,6313.55,0.06
BCkcvpB8UgRC4WU2fDVpnugfZ6m9JfByS6se2wm3bqPq,FMQwxNCfaFp3ESoL1khfmGZN5BUxKHhWmExJ8BMsYL8J,6019.75,0.06
3s6c6JzbqgdDpnXrvdfJXhJLq6i9CeMh5JghFe72nBk4,5rB1CtNtCupKfTks9Fb3f8ZgdEPxYCrNwTEWwgxjdMPZ,5149.00,0.05
EgX22PDQjgQZjHCjs4Ysi14a6MRBFbmNjPvBkXYdL5i,aHL6iWcf5AjVuhbtXXJ9mg1tNvcFBbxFAdyEbQTsPpk,4999.12,0.05
BheyvBeuX6774SKnBxDt4yZiVAcgokXUB6gyn45ZCnJU,58EMSzEuJsAg5VaubRvniBqhFQdhwVJMHRGXncffdsam,4815.02,0.05
9zb7e5BJQFWmGSNLQ4tF4y8RQZX2i3LngYJrmZuE63AM,5bzXMU1mNSZp1h3JgmKeNfsg4DncHyu8vrHWjfxa4FyA,4783.01,0.05
7ZpjakapGPY8GhNGgPmGgSYXbMxQ8SP2MHLfKJMrzB6u,DTXzXDeKSNVg5dCrXWAefZ7QqkooMkdDqc7gHd3nSMhN,4750.00,0.05
6KNVw4ggXhhyVuTtH6X9rTE9SobRJqj8HiyU2u7jPZnS,4PqK8sWMHutrpmq5TkexfVcPrXWYLH6JvVHv8M5JwjHe,4591.27,0.05
9KNNKs7rhcB4KGobCX7JvwUTJoU6HTP3NKyC9rSGQoiS,96CX7CzNBsEbisHpiiBPFsNXp3K2aHdaw5syQBQh7udj,4379.33,0.04
EB7h7fFJX9y98jJoKsVeGFbnramBp5EnQuATZ6JYGPUK,EckmVipf9hwV8Dc44GVEgkr28RxBvaeTA2NRD95fD1TP,3721.85,0.04
Bg69rY9ThDUBg93TK7PtKekPomaYZugW3rM4TM9qaBQZ,FfyEUXxZMGWvqTJiKn7yaJhFB3E5SuL8rpTjaVd3SMaF,3610.81,0.04
FYcVDbsX1e1W8sgEwQuQexmVbs5CMP6rNbw56JA5xKMy,7pkwyXpeyAkX6jzRtKXyU9hS7UwcqFUbiTZLZYXmu8aH,3011.00,0.03
1kQjwEJTx6QSW3idk9VSVxfcXf34V5XpLEAq8uR4Knx,HupyoHSj4qfxZCcLfQMGSShA4jqgbmznqYP92JpesexA,2921.06,0.03
J1oUdSi2QPqJdJouV6WvP9q3hN2tTrk8hRD1sUSBxZxp,2KeJTaDy173ut6wFMJqup2vAYk1fYT7FSr5spSaUjtkx,2789.61,0.03
GvHHDfEdHUU7uERWXbw7Zf8FqwpcnYLiNdhc4yhNHFGZ,2rDLbE9cEZenzhtz3sJM2awEqp9Uef14fz4kBPsSdLeY,2777.87,0.03
8LCufX5VobcqYs99vKU7VZGLDeAZiSqPA3JKvMyfeQLq,7Py8NDPSooUXC7hyoHcyMe7b3e7kp88A1ZKav34yUkvY,2540.64,0.03
3R5KyuBsCtD8kA9iS87iqPNyda7GGhq9NPiTM3FJM8Py,GSnSgAEpRhB7C2i6qhDvUBd87mjCaE4K2kuYQyTofZfe,2468.30,0.02
AfLJnwaJ2gN5hm9jnp2f7xjMjyTsLNntJ8Ahs1Z2YptF,DMU9vLCJRLy6UYxtLwSskD4SwiV38DbMZeNMQduEDyDH,2413.57,0.02
8L5Aw7xmdQ7R7doGJRSgkhUW2nmSyqFGfxpAzLkfGtWs,GBypDWtnN6ovu3isi6dfP9FuinE9Z51CD7xviUgKEZ2q,2362.86,0.02
3ntkjbyazUeqES1giPpcGhzfyY6WRQoqkD8P2nZRpFiu,H2zuj7iXURB8TPbb3uBiq1Z8deu9KrYRLCskndaHs8m2,2339.98,0.02
AX2A587JzT14rMtL2pjqmL14sqYhZNKoMqvd2qbaLTvP,bMB5WEywBo6cwXNfj2mQdEqKmsx3XDxZMF6e7nAB82J,2054.00,0.02
2K1Xfg67SXeD9msYiu8s5zgaHg4mr6tcC1v7dzxoRSHv,J5G2WykDxa23ZLAodRxsEJ64K692w6zNsMw4hCi6VRed,2000.00,0.02
G4PZXXxDPiKYqAoQvEwGTqvKhojJkWQ7XNBgezUCkMur,3dN3yw7ZWEB7wuRCcxtFVxwKXrGLz17U5UocNaUqJZSD,1945.41,0.02
G1ibJHzkgJYMyExVEZmy1VsEsGUEYgd9gcfCyEykitGa,3461XSvqgBnpu5bckHZqvtyWi8XnRiWgvgR4E1wSSXCV,1945.37,0.02
BAQKSbacQcfrLNLHmL67qn8eJhus5nPHcvyxNGV8mDQs,7V6mbw1rYXe7KFDfUNyi5pVpSw7RjrxkkBo2EofXV22E,1699.54,0.02
WTGtVbrsN2mQg54yen36F5twviwx5S9PUDJVewAeG4B,HMoZqQUcwVozL4T2S1y7VnPq6nRMkaE1cxsY5Cz4J9re,1641.05,0.02
Gb8u7mjGxDEEobhatn4MRA69wTskvgcaNiA5bcrWZuda,FpZw1QXZkTNXiCqHbUqW78Lw7AzY4kLDPuPVvuxSyhjQ,1593.40,0.02
AawGZuDb4G4ofPY5ybB4rQVmrEZ6GfcjjzDMoHgbWsdC,H9jKLDUszVvm1Ykfzck7ccxrZvQGq6eHPt6yfbjzoAN7,1500.00,0.02
6rmSaChuk6q1ZMqp9b149pEckGXvxoReWfAmeU4HnB6n,6MexooMZmrZvJmAcEyRyZjxMMbhANXYrG5yDe4DMr8UP,1389.35,0.01
7d1x4FnP9SJGvtvZvjb7mMP3wztcNuEwBjMUqgUeg3ZL,8cMxpqGCx9Y4AuFN5ehRuK38QFu3cnLLVUnAVMARrqJh,1367.21,0.01
5w1hsmPeiAgTyKD3yvkVgX6o76wtw2nLpRW8Hfxejjjj,Gw3mKPt79ihsb9p2whPQtTmKJfj2ZwDptgoQNFTuimn,1217.69,0.01
NAYCNUU3rVykXa3R7i6zSbnQne5rPmzJpXNcNVt4nzS,CWsij61x7KKb9CuXr1k2tG2Mh8yYFvvwaEzA741dSJLL,1200.00,0.01
3GUyKaU3GNnYdrJYyJmzEki4nRsLXEkKPhF7jcFG1d6z,H1W2F9XvSUyFqmCT9C6q1gsmNWsnY8i7reNrUoMzvmM8,1200.00,0.01
7gPLL2cEUV14YUYGBpURQ6NnjSEY74frP96f1p9m3Knz,D6KtJzpNXu4i7eBPnPR5ZGZTaDbuf3Pt6fdXJd25ytSb,1199.00,0.01
4fPAJZ2h65QRuUnhZ4aUy1LB65TawjRuEA9VPvMFWx68,8WXxKMeL6NE21PiJM2xYEqiMZu1P6B63GaEx3oX5XDrC,1181.00,0.01
G5KTQDS8HgxmwR7VqZLKNcARw4fdvNoPgUtHt5e5W47X,8kk1EfQ2eGF54y4xbTaQotobebbboE8xhuKw9669LvsQ,1167.14,0.01
E26P5bbo6UePMZWvgQpmXLuywLaGWnczi6pDwwek7rir,6U9FrjspbjVAmH8rnnRo3xk4QHSLqJX6Vd7CBGdfsB7r,1158.72,0.01
fw6JqQqQQWeY7ePwGsK4qmGrvYuNdW6TegHzb7KqoDJ,2raUNCyKGfodm6JUBvKUcuXtuHmaKRATvzLqcWNXuB8i,1060.00,0.01
5MkbdBdH2WWevRnmP1yuAsWatV4tXpyjyuCKuTHbSLyc,D7NzgDcaFzbJHcEQU8mhrAUQA3wgkFsE19Ertx2aRc1q,1058.88,0.01
49W1LoM8o5zeUiwfvELRkBWrqcTAzfDnFQkG3QGRbAPi,BkqL4GWrmy5AgndqKifdxrNwjXdQRC8yyNaQrHrVnzk5,1050.00,0.01
28dqcPUP2MjY4kSHeTwh97uTd1CMbVCMj6Cep6iWDeVb,CJshhaN2UiJMJpR3sXU69KNN2hjDEYVv6oYYjoMtJQve,1050.00,0.01
AYsfPAsDyiw1GQpDFYEQBmd6q1QQ28A9pUMq9GNbNBYo,C9eWVoGsAaqFVnxckKYBh2AKb1p3AsRH3aanKyUdXv33,1035.00,0.01
9eqa8vdNhfj5891d8Ms9vKE4uaxts6rFQjcn4usvw7k1,3d6crMNqa1arrqrQ18a9gUWi7fWoK9FYzdQVXt1MT2db,1033.37,0.01
9t9w3CJiaJD7NmK2kmPFoE3Axbw75wQrn7VnKWJ6qbBV,yM4sgU9rYwRgS2pneGxWLBXPCKKg46GXMDZNF9G7bTX,1011.65,0.01
